Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Miraíma;0,64;68,86;53,51;91,67;98,18;39,59;35,11;49,34;41;12800;21,7;3,18;66;7,8;63,09;59;110,6;95,6;32,27;10,09;191,56;41,87;53,91;29,78
Missão Velha;0,57;84,74;66,79;93,47;98,53;36,47;16,62;40,36;51;34274;25,9;2,4;59,64;8,61;61,04;49;103,65;91,25;28,05;9,79;293,16;20,65;30,54;40,28
Mombaça;0,54;63,74;58,65;83,72;98,91;36,55;21,47;52,37;63;42690;29,3;2,75;59,08;9,82;60,66;37;101,81;91,89;34,02;9,22;243,85;27,66;40,43;33,57
Monsenhor Tabosa;0,55;70,03;57,35;97,34;96,73;32,57;19,59;40,6;46;16705;22,6;2,73;58,48;9,02;53,86;54;120,79;94,9;29,84;8,99;237,18;29,71;40,9;33,55
Morada Nova;0,52;78,29;71,4;86,12;99,17;27,25;22,23;45,53;52;62065;25,1;2,09;51,27;9,24;59,34;48;107,33;93,98;28,22;9,08;276,36;22,85;35,18;36,33
Moraújo;0,51;67,56;62,52;86,32;97,64;40,95;14,88;39,47;58;8070;23,3;2,29;57,71;7,51;54,48;42;111,31;96,13;31,98;9,43;174,55;34,34;47,36;34,73
Morrinhos;0,54;78,64;63,37;98,57;96,02;36,61;33,96;49,26;45;20700;24,8;2,88;65,92;7,77;78,73;55;96,76;90,32;28,44;9,6;208,9;32,3;44,31;37,76
Mucambo;0,57;72,53;70,57;95,5;99,62;38,24;23,52;43,43;45;14102;29,8;1,92;60,62;10,64;64,4;55;107,36;93,73;31,61;9,82;269,65;29,28;40,44;35,63
Mulungu;0,55;63,52;62,83;96,09;98,63;38,41;22,74;37,86;43;11485;24,8;2,72;60,52;8,25;53,89;57;105,33;92,88;22,98;9,33;246,35;25,33;35,32;35,73
Nova Olinda;0,57;80,98;54,76;94,63;99,8;39,39;21,41;45,24;50;14256;21,6;2,31;57,98;8,54;60,39;50;107,63;91,56;23,3;9,88;272,1;23,04;31,29;32,08
Nova Russas;0,5;90,74;80,18;90,65;99,57;28,23;20,09;45,47;48;30965;25,7;2,14;58,4;10,57;61,34;52;114,75;94,09;28,44;9,87;304,52;16,55;24,78;39,69
Novo Oriente;0,6;75,22;59,49;82,35;99,42;39,36;29,39;45,89;50;27453;24,2;2,26;55,36;8,91;67,79;50;102,36;92,89;34,07;10,04;247,79;35,93;50,07;32,25
